sex,age,address,Rural,Medu,Fedu,Mjob,Fjob,traveltime,studytime,minstudytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,freetimemins,goout,Dalc,Walc,health,absences,G1,G2,G3,Finalpercent
M,17,U,0,4,4,services,teacher,1,1,9,0,no,no,no,no,yes,yes,yes,no,5,2,4,3,1,2,5,4,17,15,16,0.8
M,17,U,0,3,3,other,services,1,1,4,0,no,no,no,yes,no,yes,yes,no,4,3,5,5,3,5,5,3,14,15,16,0.8
M,17,U,0,3,1,services,services,2,1,12,0,no,no,no,no,no,yes,yes,no,2,4,5,5,3,4,2,3,14,16,16,0.8
M,16,U,0,4,2,teacher,other,1,2,21,0,no,no,no,yes,yes,yes,yes,no,4,5,3,1,1,3,5,2,15,15,16,0.8
F,16,U,0,4,2,services,other,1,2,22,0,no,yes,no,no,yes,yes,yes,no,4,2,3,3,1,1,5,2,15,16,16,0.8
M,16,U,0,4,4,teacher,teacher,1,2,17,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,4,1,2,5,2,15,15,16,0.8
M,16,U,0,1,0,other,other,2,2,27,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,5,2,1,1,3,2,13,15,16,0.8
F,16,U,0,4,3,health,other,1,2,30,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,5,1,5,2,2,16,16,16,0.8
M,15,U,0,2,2,other,other,1,3,32,0,no,yes,no,no,yes,yes,yes,yes,4,5,5,2,1,1,3,0,14,16,16,0.8
M,15,R,1,4,3,teacher,at_home,1,2,26,0,no,yes,no,yes,yes,yes,yes,yes,4,5,4,2,1,1,5,0,17,16,16,0.8
F,16,U,0,4,2,health,services,1,2,30,0,no,no,yes,no,yes,yes,yes,yes,4,2,4,3,1,1,3,0,14,15,16,0.8
F,17,U,0,3,4,services,other,1,3,34,0,no,no,no,no,yes,yes,yes,no,4,4,11,5,1,3,5,16,16,15,15,0.75
M,18,U,0,3,4,services,other,1,2,24,0,no,no,no,yes,yes,yes,yes,yes,4,3,34,3,1,3,5,11,16,15,15,0.75
M,16,U,0,4,3,services,other,1,2,25,0,no,yes,yes,yes,yes,yes,yes,no,5,4,26,2,1,2,5,10,15,15,15,0.75
F,17,U,0,3,2,other,other,1,2,27,0,no,no,no,yes,no,yes,yes,no,5,3,32,4,1,3,3,10,16,15,15,0.75
M,18,U,0,4,4,teacher,teacher,1,2,19,0,no,yes,yes,yes,yes,yes,yes,no,5,4,31,3,1,1,2,9,15,13,15,0.75
M,16,R,1,4,4,other,teacher,2,3,38,0,no,yes,no,yes,yes,yes,yes,yes,2,4,41,3,1,1,5,7,15,16,15,0.75
M,15,U,0,2,2,services,services,1,4,105,0,no,yes,yes,yes,yes,yes,yes,no,5,5,52,4,1,2,5,6,16,14,15,0.75
M,15,U,0,4,2,health,services,1,1,9,0,no,no,yes,no,yes,yes,yes,no,2,2,7,4,2,4,1,4,15,16,15,0.75
M,15,U,0,4,4,teacher,health,1,2,17,0,no,yes,no,yes,yes,yes,no,no,3,2,58,2,1,1,5,4,14,15,15,0.75
M,15,U,0,2,2,services,services,2,2,29,0,no,no,yes,yes,yes,yes,yes,no,5,3,19,3,1,3,4,4,15,15,15,0.75
F,20,U,0,4,2,health,other,2,3,31,2,no,yes,yes,no,no,yes,yes,yes,5,4,19,3,1,1,3,4,15,14,15,0.75
F,15,U,0,4,2,health,services,1,3,49,0,no,yes,yes,yes,yes,yes,yes,yes,3,2,23,2,1,1,5,2,15,14,15,0.75
F,16,U,0,4,3,teacher,services,3,2,23,0,no,yes,no,yes,yes,yes,yes,no,5,4,23,3,1,2,1,2,16,15,15,0.75
M,16,R,1,4,3,services,other,2,1,14,0,yes,yes,no,yes,no,yes,yes,no,3,3,48,3,1,1,4,2,11,15,15,0.75
F,15,U,0,1,2,at_home,services,1,2,28,0,no,no,no,no,no,yes,yes,no,3,2,57,3,1,2,1,2,16,15,15,0.75
M,16,R,1,2,2,at_home,other,3,1,11,0,no,no,no,no,no,yes,no,no,4,2,39,2,1,2,3,2,17,15,15,0.75
F,17,U,0,3,2,other,other,2,2,23,0,no,no,yes,no,yes,yes,yes,no,4,4,35,4,1,3,1,2,14,15,15,0.75
F,17,U,0,3,1,services,services,1,3,55,0,no,yes,no,no,no,yes,yes,no,3,4,22,3,2,3,5,1,12,14,15,0.75
M,15,U,0,3,4,other,other,1,2,28,0,no,yes,yes,yes,yes,yes,yes,no,5,5,41,1,1,1,5,0,14,15,15,0.75
M,15,U,0,4,3,teacher,other,1,2,29,0,no,no,no,no,yes,yes,yes,no,4,4,7,1,1,1,1,0,13,14,15,0.75
M,15,U,0,4,4,health,health,1,1,5,0,no,yes,yes,no,yes,yes,yes,no,5,4,33,2,1,1,5,0,12,15,15,0.75
M,16,U,0,3,2,other,other,1,1,4,0,no,yes,yes,no,no,yes,yes,no,5,4,13,3,1,1,5,0,12,14,15,0.75
F,15,U,0,4,3,services,services,1,2,27,0,no,yes,yes,yes,yes,yes,yes,no,4,3,11,2,1,1,1,0,14,15,15,0.75
M,16,U,0,3,1,other,other,2,4,108,0,no,yes,yes,no,yes,yes,yes,no,4,3,46,2,1,1,5,0,13,15,15,0.75
F,15,U,0,4,4,teacher,teacher,2,1,3,0,no,no,no,yes,yes,yes,yes,no,4,3,55,2,1,1,5,0,16,16,15,0.75
M,16,U,0,2,1,other,other,1,2,24,0,no,no,yes,yes,yes,yes,yes,yes,4,2,38,3,1,2,5,0,15,15,15,0.75
F,17,U,0,2,4,services,services,1,2,21,0,no,no,no,yes,yes,yes,yes,yes,4,3,26,2,1,1,5,0,14,15,15,0.75
M,16,U,0,0,2,other,other,1,1,6,0,no,no,yes,no,no,yes,yes,no,4,3,38,2,2,4,5,0,13,15,15,0.75
F,17,U,0,4,3,health,services,1,3,43,0,no,yes,yes,no,yes,yes,yes,no,4,2,20,2,1,2,3,0,15,15,15,0.75
F,17,U,0,0,2,at_home,at_home,2,3,32,0,no,no,no,no,yes,yes,yes,no,3,3,48,3,2,3,2,0,16,15,15,0.75
F,17,U,0,4,3,health,other,1,2,17,0,no,no,no,yes,yes,yes,yes,yes,3,2,12,3,1,2,3,14,13,13,14,0.7
M,18,U,0,2,1,other,other,1,2,22,0,no,no,no,yes,yes,yes,yes,no,5,2,32,4,1,2,4,8,15,14,14,0.7
M,18,R,1,3,2,services,other,2,3,53,0,no,yes,yes,yes,yes,yes,yes,no,5,4,55,2,1,1,4,8,14,13,14,0.7
F,17,R,1,2,4,at_home,other,1,3,56,0,no,yes,no,no,yes,yes,yes,yes,4,4,49,3,1,1,5,7,12,14,14,0.7
F,18,U,0,3,2,other,services,1,3,34,0,no,no,no,no,yes,yes,yes,yes,5,4,60,3,2,3,1,7,13,13,14,0.7
F,16,U,0,4,4,services,services,1,3,59,0,no,yes,yes,yes,yes,yes,yes,no,3,2,16,3,1,2,2,6,13,14,14,0.7
M,15,U,0,2,2,services,health,1,4,114,0,no,yes,no,yes,yes,yes,yes,no,4,3,18,4,1,1,4,6,11,13,14,0.7
F,16,U,0,4,4,other,other,1,1,15,0,no,no,no,yes,no,yes,yes,no,5,3,29,4,1,2,1,6,11,14,14,0.7
M,16,U,0,2,1,at_home,other,1,1,13,1,no,no,no,yes,yes,yes,no,yes,4,4,60,4,3,5,5,6,12,13,14,0.7
M,18,U,0,2,1,services,services,1,3,41,0,no,no,yes,yes,yes,yes,yes,no,4,2,55,4,1,3,2,6,15,14,14,0.7
F,16,U,0,4,4,health,other,1,1,5,0,no,yes,no,no,yes,yes,yes,no,4,4,32,4,1,2,2,4,14,14,14,0.7
F,15,U,0,4,2,other,other,1,3,46,0,no,yes,no,yes,yes,yes,yes,no,5,3,52,3,1,3,1,4,13,14,14,0.7
M,15,U,0,4,4,services,other,1,1,14,0,no,yes,no,yes,no,yes,yes,no,5,3,60,3,1,1,5,4,10,13,14,0.7
F,18,U,0,2,3,other,services,1,4,93,0,no,yes,yes,yes,yes,yes,yes,yes,4,5,18,5,1,3,2,4,15,14,14,0.7
F,17,U,0,4,4,teacher,teacher,2,3,41,0,no,yes,yes,no,no,yes,yes,yes,4,3,19,3,1,2,4,4,14,14,14,0.7
M,18,U,0,4,4,teacher,teacher,1,2,24,0,no,no,yes,yes,no,yes,yes,no,3,2,22,4,1,4,2,4,15,14,14,0.7
M,15,U,0,4,4,health,services,1,1,2,0,no,yes,yes,yes,yes,yes,yes,no,4,3,41,3,1,3,5,2,14,14,14,0.7
M,15,U,0,4,2,teacher,other,1,2,29,0,no,yes,yes,no,yes,yes,no,no,4,3,26,3,2,2,5,2,15,15,14,0.7
M,16,U,0,3,1,other,other,1,1,11,0,no,no,no,yes,yes,yes,no,no,5,3,40,2,2,2,5,2,12,12,14,0.7
M,15,U,0,4,4,other,teacher,2,2,18,0,no,yes,no,yes,yes,yes,no,no,4,4,44,3,1,1,2,2,11,13,14,0.7
M,17,R,1,1,2,at_home,at_home,1,2,26,0,no,yes,yes,yes,no,yes,no,yes,3,5,7,2,2,2,1,2,15,14,14,0.7
F,16,U,0,4,4,health,health,1,2,17,0,no,yes,yes,no,yes,yes,yes,yes,4,4,7,2,1,1,3,0,14,14,14,0.7
M,16,U,0,2,3,other,other,2,1,13,0,no,no,no,no,yes,yes,yes,no,5,3,54,3,1,1,3,0,13,14,14,0.7
F,16,U,0,2,2,other,other,1,2,26,0,yes,yes,yes,no,yes,yes,yes,no,3,3,25,4,1,1,4,0,12,13,14,0.7
F,16,U,0,4,4,teacher,services,1,3,56,0,no,yes,no,yes,no,yes,yes,no,5,3,25,2,1,1,5,0,13,13,14,0.7
F,18,U,0,4,3,other,other,1,4,87,0,no,yes,yes,no,yes,yes,yes,no,4,3,45,3,1,1,3,0,14,13,14,0.7
F,17,U,0,4,2,other,other,2,3,50,0,no,yes,yes,no,yes,yes,yes,no,4,3,26,3,1,1,3,0,15,12,14,0.7
F,17,U,0,4,3,services,services,1,2,21,0,no,yes,yes,no,yes,yes,yes,yes,5,2,156,2,1,2,5,23,13,13,13,0.65
M,19,U,0,3,3,other,other,1,2,27,1,no,yes,no,yes,yes,yes,yes,yes,4,4,157,4,1,1,3,20,15,14,13,0.65
F,19,U,0,2,1,at_home,other,3,2,30,0,no,yes,no,no,yes,no,yes,yes,3,4,157,1,1,1,2,20,14,12,13,0.65
M,16,U,0,4,4,health,other,1,1,9,0,no,yes,no,yes,yes,yes,yes,no,3,4,125,4,1,4,5,18,14,11,13,0.65
F,19,U,0,1,1,at_home,health,1,3,51,2,no,no,no,no,no,yes,yes,yes,4,1,152,2,1,1,3,14,15,13,13,0.65
M,17,U,0,4,4,services,other,1,2,29,0,no,yes,yes,no,yes,yes,yes,yes,5,3,148,5,4,5,3,13,12,12,13,0.65
F,18,U,0,2,1,services,at_home,1,2,16,1,no,no,no,no,yes,yes,yes,yes,5,4,170,3,1,1,5,12,12,12,13,0.65
F,19,R,1,3,1,services,at_home,1,3,55,1,no,no,yes,no,yes,yes,no,no,5,4,148,3,1,2,5,12,14,13,13,0.65
F,16,U,0,2,3,services,services,1,2,20,0,no,no,no,no,yes,yes,yes,no,4,3,132,3,1,1,2,10,11,12,13,0.65
F,16,U,0,4,3,teacher,other,1,2,20,0,no,no,yes,yes,yes,yes,yes,yes,1,3,131,2,1,1,1,10,11,12,13,0.65
M,18,R,1,3,2,other,other,2,1,10,1,no,yes,no,no,no,yes,yes,no,2,5,180,5,5,5,5,10,11,13,13,0.65
F,15,R,1,2,2,at_home,other,1,1,11,0,yes,yes,yes,yes,yes,yes,no,no,4,3,179,1,1,1,2,8,14,13,13,0.65
M,17,R,1,1,2,other,other,1,1,8,0,no,no,no,no,yes,yes,no,no,2,2,162,2,3,3,5,8,16,12,13,0.65
F,15,U,0,3,3,other,other,1,1,15,0,no,no,yes,no,yes,yes,yes,no,5,3,125,4,4,4,1,6,10,13,13,0.65
M,15,R,1,4,4,other,other,4,4,119,0,no,yes,yes,yes,yes,yes,yes,yes,1,3,120,5,3,5,1,6,10,13,13,0.65
F,16,U,0,2,2,at_home,other,1,2,16,1,yes,no,no,yes,yes,yes,yes,no,3,1,126,2,1,1,5,6,10,13,13,0.65
M,15,U,0,3,4,other,other,1,1,2,0,no,no,no,no,yes,yes,yes,no,3,4,152,3,1,2,4,6,14,13,13,0.65
F,17,U,0,4,2,teacher,services,1,4,76,0,no,yes,yes,yes,yes,yes,yes,no,4,2,148,3,1,1,4,6,14,12,13,0.65
M,17,U,0,2,2,other,other,1,2,20,0,no,no,yes,yes,no,yes,yes,yes,4,4,148,2,5,5,4,4,14,13,13,0.65
M,17,U,0,2,3,other,other,2,1,14,0,no,no,no,no,yes,yes,yes,no,5,2,163,2,1,1,2,4,12,12,13,0.65
F,17,R,1,4,4,teacher,services,2,2,16,0,no,yes,yes,yes,yes,yes,yes,no,4,3,156,3,1,2,5,4,12,13,13,0.65
F,16,U,0,2,2,services,services,3,2,29,0,no,yes,yes,no,yes,yes,yes,no,4,3,129,3,2,3,4,2,12,13,13,0.65
F,15,U,0,4,2,health,other,1,2,19,0,no,yes,yes,no,yes,yes,yes,no,4,3,166,3,1,1,5,2,11,13,13,0.65
F,16,U,0,2,4,other,health,2,2,17,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,137,2,1,2,5,2,13,13,13,0.65
F,16,U,0,1,1,at_home,at_home,1,1,3,0,no,no,no,no,yes,yes,yes,no,3,4,172,4,3,3,1,2,14,14,13,0.65
M,16,U,0,4,4,health,other,1,2,28,0,no,yes,yes,yes,yes,yes,yes,no,4,2,175,4,2,4,1,2,14,13,13,0.65
M,17,U,0,3,3,health,other,2,2,25,0,no,yes,yes,no,yes,yes,yes,no,4,5,143,4,2,3,3,2,13,13,13,0.65
M,16,U,0,3,3,other,services,2,1,6,0,no,no,no,yes,yes,yes,yes,no,5,4,174,2,1,1,5,0,13,14,13,0.65
M,18,U,0,2,2,other,other,2,2,17,0,no,yes,yes,no,yes,yes,yes,no,3,3,144,3,5,5,4,0,12,13,13,0.65
F,16,U,0,2,1,other,other,1,1,13,0,no,no,no,no,yes,yes,yes,yes,4,5,160,2,1,1,5,20,13,12,12,0.6
M,16,U,0,3,2,services,services,2,1,1,1,no,yes,no,yes,no,no,no,no,4,5,141,2,1,1,2,16,12,11,12,0.6
F,16,U,0,3,2,other,other,1,2,30,0,no,yes,yes,no,yes,yes,yes,no,1,2,156,2,1,2,1,14,12,13,12,0.6
M,17,U,0,4,3,health,other,2,2,27,0,no,no,no,yes,yes,yes,yes,yes,2,5,146,5,1,4,5,14,12,12,12,0.6
F,17,U,0,2,2,other,other,1,1,4,0,no,yes,no,no,yes,yes,yes,yes,3,4,125,4,1,3,5,12,10,13,12,0.6
F,17,U,0,2,1,other,other,2,3,32,0,no,no,no,yes,yes,yes,yes,yes,3,2,156,3,1,2,3,10,12,10,12,0.6
M,15,U,0,4,4,teacher,other,1,1,3,0,no,yes,no,no,no,yes,yes,yes,5,4,162,3,2,4,5,8,12,12,12,0.6
F,18,U,0,2,4,services,at_home,1,2,23,1,no,yes,yes,yes,yes,yes,yes,no,4,4,158,3,1,1,3,8,14,12,12,0.6
F,17,U,0,2,2,services,other,2,2,25,0,yes,yes,yes,no,yes,yes,yes,yes,4,4,129,4,2,3,5,6,12,12,12,0.6
F,17,U,0,1,1,services,teacher,1,3,41,0,no,yes,yes,no,yes,yes,yes,no,4,3,174,3,1,1,3,6,13,12,12,0.6
F,15,U,0,2,1,services,other,3,3,51,0,no,yes,no,yes,yes,yes,yes,no,5,2,133,2,1,1,4,4,10,12,12,0.6
M,15,U,0,4,4,other,services,1,4,91,0,no,yes,no,yes,no,yes,yes,yes,1,3,136,3,5,5,3,4,13,13,12,0.6
M,16,U,0,3,3,other,services,1,2,16,1,no,yes,yes,no,yes,yes,yes,yes,4,5,155,5,4,4,5,4,10,12,12,0.6
M,18,R,1,1,2,at_home,services,3,1,13,0,no,yes,yes,yes,yes,no,yes,yes,4,3,170,3,2,3,3,3,14,12,12,0.6
M,15,U,0,2,3,other,services,1,1,15,0,yes,yes,yes,yes,no,yes,yes,yes,3,2,143,2,1,3,3,2,10,12,12,0.6
M,16,U,0,3,3,services,other,1,2,23,0,no,no,yes,yes,yes,yes,yes,yes,4,2,130,3,1,2,3,2,12,13,12,0.6
M,17,U,0,2,3,services,services,1,2,23,0,no,yes,yes,no,no,yes,yes,no,5,3,179,3,1,3,3,2,12,11,12,0.6
M,17,R,1,4,4,teacher,other,2,2,26,0,no,yes,yes,no,yes,yes,yes,no,3,3,168,3,2,3,4,2,10,11,12,0.6
M,18,R,1,1,1,at_home,other,2,2,24,1,no,no,no,yes,no,no,no,no,4,4,121,3,2,3,5,2,13,12,12,0.6
M,18,R,1,3,2,other,other,1,3,37,0,no,no,no,yes,no,yes,no,no,5,3,146,2,1,1,3,1,13,12,12,0.6
F,18,R,1,1,1,at_home,other,2,4,74,0,no,yes,yes,yes,yes,yes,no,no,5,2,158,2,1,1,3,1,12,12,12,0.6
M,16,U,0,2,2,other,other,2,2,18,0,no,yes,no,yes,yes,yes,yes,no,5,4,124,4,2,4,5,0,13,13,12,0.6
M,15,U,0,4,4,health,services,1,2,17,0,no,yes,yes,no,no,yes,yes,no,5,4,175,2,3,4,5,0,9,11,12,0.6
M,15,U,0,3,3,other,other,1,2,18,0,no,no,no,yes,no,yes,yes,no,5,3,125,2,1,1,2,0,8,10,12,0.6
M,15,U,0,3,4,services,services,1,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,131,5,3,2,5,0,13,13,12,0.6
M,16,U,0,1,1,services,other,1,2,22,1,no,no,no,no,yes,yes,no,yes,4,4,134,4,1,3,5,0,14,12,12,0.6
F,17,U,0,4,4,other,teacher,1,1,14,0,yes,yes,no,no,yes,yes,no,yes,4,2,173,1,1,1,4,0,11,11,12,0.6
M,16,U,0,4,4,services,services,1,1,11,0,no,no,no,yes,yes,yes,yes,no,5,3,145,2,1,2,5,0,13,12,12,0.6
M,17,R,1,2,1,other,other,1,1,8,0,no,no,no,no,no,yes,yes,no,4,4,144,2,2,4,5,0,8,12,12,0.6
M,19,R,1,3,3,other,services,1,2,30,1,no,no,no,yes,yes,yes,no,yes,4,5,128,3,1,2,5,0,15,12,12,0.6
F,16,U,0,3,3,other,services,1,2,29,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,150,3,2,4,5,54,11,12,11,0.55
F,19,R,1,2,3,other,other,1,3,55,1,no,no,no,no,yes,yes,yes,yes,4,1,208,2,1,1,3,40,13,11,11,0.55
F,16,U,0,2,2,other,other,2,2,27,1,no,yes,no,yes,no,yes,yes,yes,3,3,225,3,1,2,3,25,7,10,11,0.55
F,19,U,0,3,2,services,other,2,2,17,1,no,yes,yes,no,no,yes,yes,yes,4,2,212,2,1,2,1,22,13,10,11,0.55
M,16,U,0,4,4,teacher,teacher,1,2,22,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,232,5,5,5,5,16,10,12,11,0.55
F,16,U,0,3,4,services,other,1,1,7,0,no,no,no,no,yes,yes,yes,no,3,2,233,1,1,4,5,16,12,11,11,0.55
F,18,U,0,4,4,health,other,1,2,28,0,no,yes,no,no,yes,yes,yes,yes,4,2,212,4,1,1,4,14,12,10,11,0.55
F,16,U,0,3,3,other,services,1,2,16,0,no,yes,no,no,yes,yes,yes,no,2,3,212,5,1,4,3,12,11,12,11,0.55
M,17,U,0,3,3,services,services,1,2,30,0,no,yes,no,yes,yes,yes,yes,yes,4,3,222,4,2,3,4,12,12,12,11,0.55
M,19,U,0,4,3,services,at_home,1,2,16,0,no,yes,no,no,yes,yes,yes,no,4,3,240,1,1,1,1,12,11,11,11,0.55
M,18,U,0,4,2,teacher,other,1,2,25,0,no,yes,yes,yes,yes,yes,yes,yes,4,3,203,2,1,4,5,11,12,11,11,0.55
F,15,U,0,3,3,other,health,1,4,78,0,yes,no,no,no,yes,yes,no,no,4,3,216,3,1,1,4,10,10,11,11,0.55
F,18,R,1,4,4,other,teacher,3,2,18,0,no,yes,yes,no,no,yes,yes,yes,3,2,221,2,4,2,5,10,14,12,11,0.55
F,18,R,1,4,4,teacher,other,2,2,19,0,no,no,yes,yes,yes,yes,yes,no,4,3,217,4,2,2,4,8,12,10,11,0.55
F,17,U,0,2,2,other,at_home,1,3,51,0,no,no,no,yes,yes,yes,no,yes,3,4,225,3,1,1,3,8,13,11,11,0.55
F,16,R,1,4,4,health,teacher,1,2,25,0,no,yes,no,yes,yes,yes,no,no,2,4,204,4,2,3,4,6,10,11,11,0.55
F,16,U,0,1,1,services,services,4,1,13,0,yes,yes,no,yes,no,yes,yes,yes,5,5,220,5,5,5,5,6,10,8,11,0.55
F,16,R,1,2,2,services,services,2,4,113,0,no,yes,yes,yes,no,yes,yes,no,5,3,221,5,1,1,5,6,10,10,11,0.55
M,16,U,0,3,4,services,other,1,2,22,0,yes,yes,no,yes,yes,yes,yes,no,5,3,225,3,1,1,5,4,11,11,11,0.55
M,15,U,0,2,3,other,other,1,3,53,0,yes,no,yes,no,no,yes,yes,no,5,3,210,2,1,2,5,4,11,10,11,0.55
M,17,U,0,4,3,other,other,1,2,27,0,no,yes,no,yes,yes,yes,yes,yes,5,2,212,3,1,1,2,4,10,10,11,0.55
M,17,R,1,2,2,other,other,2,2,28,0,no,yes,yes,yes,yes,yes,yes,no,4,5,208,2,1,1,1,4,11,11,11,0.55
F,17,U,0,2,2,other,other,1,2,24,0,no,yes,no,no,no,yes,yes,no,5,4,233,5,1,2,5,4,10,9,11,0.55
M,17,U,0,3,3,health,other,1,1,1,0,no,yes,yes,no,yes,yes,yes,no,4,4,235,3,1,3,5,4,14,12,11,0.55
F,19,U,0,2,1,services,services,1,3,58,1,no,no,yes,yes,yes,yes,yes,yes,4,3,207,4,1,3,3,4,11,12,11,0.55
M,17,R,1,4,3,services,other,2,2,18,0,no,yes,yes,yes,no,yes,yes,yes,4,5,221,5,1,3,2,4,13,11,11,0.55
M,19,U,0,1,2,other,services,1,2,18,1,no,no,no,no,no,yes,yes,no,4,5,218,2,2,2,4,3,13,11,11,0.55
F,17,R,1,2,2,services,services,1,3,33,0,no,yes,yes,yes,yes,yes,yes,no,3,3,214,2,2,2,3,3,11,11,11,0.55
M,18,U,0,4,4,other,other,1,3,56,0,no,no,no,yes,yes,yes,yes,no,4,3,211,3,2,2,3,3,9,12,11,0.55
M,15,U,0,4,3,teacher,other,2,2,28,0,no,yes,yes,no,yes,yes,yes,no,5,4,228,3,1,2,3,2,10,10,11,0.55
M,15,U,0,2,2,other,other,1,1,4,0,no,yes,yes,no,yes,yes,yes,no,4,2,210,2,1,2,5,2,12,12,11,0.55
F,15,R,1,3,4,services,health,1,3,42,0,yes,yes,yes,yes,yes,yes,yes,no,4,3,214,2,1,1,5,2,12,12,11,0.55
F,15,U,0,4,4,teacher,services,1,3,40,0,no,yes,yes,yes,yes,yes,yes,no,4,2,201,2,1,1,5,2,9,11,11,0.55
F,15,U,0,1,2,at_home,other,1,2,26,0,no,yes,yes,no,no,yes,yes,no,4,3,203,2,1,1,5,2,10,11,11,0.55
F,16,U,0,2,2,services,other,2,2,28,0,no,no,yes,yes,no,yes,yes,no,3,4,207,4,1,4,5,2,13,13,11,0.55
M,16,U,0,1,2,services,services,1,1,7,0,no,yes,yes,yes,yes,yes,yes,yes,3,3,223,3,1,2,3,2,11,12,11,0.55
F,17,R,1,2,1,at_home,services,3,2,21,0,no,no,no,yes,yes,yes,no,no,2,1,222,1,1,1,3,2,13,11,11,0.55
F,18,U,0,1,1,other,other,2,2,24,0,no,yes,yes,no,no,yes,no,no,4,4,240,3,1,1,3,2,11,11,11,0.55
